Heart valve disorder,signs and symptoms,368009,SNOMED,2024-06-01
Tachycardia,signs and symptoms,3424008,SNOMED,2024-06-01
Mean blood pressure,signs and symptoms,6797001,SNOMED,2024-06-01
Ex-smoker,signs and symptoms,8517006,SNOMED,2024-06-01
High density lipoprotein,signs and symptoms,9422000,SNOMED,2024-06-01
Chronic obstructive pulmonary disease,signs and symptoms,13645005,SNOMED,2024-06-01
Low density lipoprotein,signs and symptoms,22244007,SNOMED,2024-06-01
Myocardial infarction,signs and symptoms,22298006,SNOMED,2024-06-01
Raised jugular venous pressure,signs and symptoms,22447003,SNOMED,2024-06-01
Albumin measurement,signs and symptoms,26758005,SNOMED,2024-06-01
Body weight,signs and symptoms,27113001,SNOMED,2024-06-01
Chest pain,signs and symptoms,29857009,SNOMED,2024-06-01
Hospital admission,signs and symptoms,32485007,SNOMED,2024-06-01
Ferritin,signs and symptoms,32789000,SNOMED,2024-06-01
Hyperthyroidism,signs and symptoms,34486009,SNOMED,2024-06-01
Depressive disorder,signs and symptoms,35489007,SNOMED,2024-06-01
Hemoglobin,signs and symptoms,38082009,SNOMED,2024-06-01
Hypertensive disorder,signs and symptoms,38341003,SNOMED,2024-06-01
Sodium,signs and symptoms,39972003,SNOMED,2024-06-01
Respiratory crackles,signs and symptoms,48409008,SNOMED,2024-06-01
Atrial fibrillation,signs and symptoms,49436004,SNOMED,2024-06-01
Dementia,signs and symptoms,52448006,SNOMED,2024-06-01
Paroxysmal nocturnal dyspnoea,signs and symptoms,55442000,SNOMED,2024-06-01
Pleural effusion,signs and symptoms,60046008,SNOMED,2024-06-01
Gamma-glutamyltransferase,signs and symptoms,60153001,SNOMED,2024-06-01
Body mass index,signs and symptoms,60621009,SNOMED,2024-06-01
Pulse irregular,signs and symptoms,61086009,SNOMED,2024-06-01
C reactive protein,signs and symptoms,61425002,SNOMED,2024-06-01
AIDS,signs and symptoms,62479008,SNOMED,2024-06-01
Nocturnal cough,signs and symptoms,62548007,SNOMED,2024-06-01
Orthopnea,signs and symptoms,62744007,SNOMED,2024-06-01
Hepatojugular reflux,signs and symptoms,72196001,SNOMED,2024-06-01
Diabetes mellitus,signs and symptoms,73211009,SNOMED,2024-06-01
Smoker,signs and symptoms,77176002,SNOMED,2024-06-01
Obstructive sleep apnea syndrome,signs and symptoms,78275009,SNOMED,2024-06-01
Loss of appetite,signs and symptoms,79890006,SNOMED,2024-06-01
Glomerular filtration rate,signs and symptoms,80274001,SNOMED,2024-06-01
Palpitations,signs and symptoms,80313002,SNOMED,2024-06-01
Large liver,signs and symptoms,80515008,SNOMED,2024-06-01
Oliguria,signs and symptoms,83128009,SNOMED,2024-06-01
Heart failure,signs and symptoms,84114007,SNOMED,2024-06-01
Fatigue,signs and symptoms,84229001,SNOMED,2024-06-01
Cholesterol,signs and symptoms,84698008,SNOMED,2024-06-01
Triacylglycerol,signs and symptoms,85600001,SNOMED,2024-06-01
Cardiomyopathy,signs and symptoms,85898001,SNOMED,2024-06-01
Human immunodeficiency virus infection,signs and symptoms,86406008,SNOMED,2024-06-01
Potassium,signs and symptoms,88480006,SNOMED,2024-06-01
Heart murmur,signs and symptoms,88610006,SNOMED,2024-06-01
Weight loss,signs and symptoms,89362005,SNOMED,2024-06-01
Troponin T,signs and symptoms,102682001,SNOMED,2024-06-01
Troponin I,signs and symptoms,102683006,SNOMED,2024-06-01
Blood urea nitrogen measurement,signs and symptoms,105011006,SNOMED,2024-06-01
Transferrin saturation,signs and symptoms,165730006,SNOMED,2024-06-01
Date of birth,signs and symptoms,184099003,SNOMED,2024-06-01
Angina pectoris,signs and symptoms,194828000,SNOMED,2024-06-01
Cerebrovascular accident,signs and symptoms,230690007,SNOMED,2024-06-01
Coronary artery bypass graft,signs and symptoms,232717009,SNOMED,2024-06-01
Disease of liver,signs and symptoms,235856003,SNOMED,2024-06-01
Female,signs and symptoms,248152002,SNOMED,2024-06-01
Male,signs and symptoms,248153007,SNOMED,2024-06-01
Left ventricular ejection fraction,signs and symptoms,250908004,SNOMED,2024-06-01
Left ventricular end-systolic cavity size,signs and symptoms,250931004,SNOMED,2024-06-01
Right ventricular ejection fraction,signs and symptoms,250939002,SNOMED,2024-06-01
Cardiac rhythm type,signs and symptoms,251149006,SNOMED,2024-06-01
QRS Axis,signs and symptoms,251196003,SNOMED,2024-06-01
QRS complex duration,signs and symptoms,251208001,SNOMED,2024-06-01
Weight increased,signs and symptoms,262286000,SNOMED,2024-06-01
Renal dialysis,signs and symptoms,265764009,SNOMED,2024-06-01
Transient cerebral ischaemia,signs and symptoms,266257000,SNOMED,2024-06-01
Never smoked tobacco,signs and symptoms,266919005,SNOMED,2024-06-01
Tobacco smoking consumption unknown,signs and symptoms,266927001,SNOMED,2024-06-01
Dyspnea,signs and symptoms,267036007,SNOMED,2024-06-01
Swollen ankle region,signs and symptoms,267039000,SNOMED,2024-06-01
Impaired exercise tolerance,signs and symptoms,267044007,SNOMED,2024-06-01
Urine albumin measurement,signs and symptoms,271000000,SNOMED,2024-06-01
Urine albumin/creatinine ratio measurement,signs and symptoms,271075006,SNOMED,2024-06-01
"Creatine measurement, urine",signs and symptoms,271261008,SNOMED,2024-06-01
Syncope,signs and symptoms,271594007,SNOMED,2024-06-01
Peripheral edema,signs and symptoms,271809000,SNOMED,2024-06-01
Tachypnoea,signs and symptoms,271823003,SNOMED,2024-06-01
Third heart sound,signs and symptoms,277455002,SNOMED,2024-06-01
Finding of heart rhythm,signs and symptoms,301112006,SNOMED,2024-06-01
Body surface area,signs and symptoms,301898006,SNOMED,2024-06-01
Cardiovascular implant,signs and symptoms,303490004,SNOMED,2024-06-01
Vascular implant,signs and symptoms,303617005,SNOMED,2024-06-01
Place of origin,signs and symptoms,307117005,SNOMED,2024-06-01
Cheyne-Stokes respiration,signs and symptoms,309155007,SNOMED,2024-06-01
Malignant neoplastic disease,signs and symptoms,363346000,SNOMED,2024-06-01
Heart rate,signs and symptoms,364075005,SNOMED,2024-06-01
Depressed mood,signs and symptoms,366979004,SNOMED,2024-06-01
Aldosterone receptor antagonist,signs and symptoms,372603003,SNOMED,2024-06-01
Loop diuretic,signs and symptoms,372691009,SNOMED,2024-06-01
Diuretic,signs and symptoms,372695000,SNOMED,2024-06-01
Angiotensin-converting enzyme inhibitor,signs and symptoms,372733002,SNOMED,2024-06-01
Vasodilator,signs and symptoms,372787008,SNOMED,2024-06-01
Anticoagulant,signs and symptoms,372862008,SNOMED,2024-06-01
HMG-CoA reductase inhibitor,signs and symptoms,372912004,SNOMED,2024-06-01
Angiotensin II receptor antagonist,signs and symptoms,372913009,SNOMED,2024-06-01
Beta adrenergic receptor antagonist,signs and symptoms,373254001,SNOMED,2024-06-01
Calcium channel blocker,signs and symptoms,373304005,SNOMED,2024-06-01
Ascites,signs and symptoms,389026000,SNOMED,2024-06-01
Rheumatism,signs and symptoms,396332003,SNOMED,2024-06-01
Left ventricular area fractional change,signs and symptoms,399287000,SNOMED,2024-06-01
Systolic blood pressure on admission,signs and symptoms,399304008,SNOMED,2024-06-01
Date of admission,signs and symptoms,399423000,SNOMED,2024-06-01
Acute ST segment elevation myocardial infarction,signs and symptoms,401303003,SNOMED,2024-06-01
Acute non-ST segment elevation myocardial infarction,signs and symptoms,401314000,SNOMED,2024-06-01
Dizziness,signs and symptoms,404640003,SNOMED,2024-06-01
Digitalis glycoside,signs and symptoms,406759007,SNOMED,2024-06-01
B-type natriuretic peptide,signs and symptoms,407059007,SNOMED,2024-06-01
Ischemic heart disease,signs and symptoms,414545008,SNOMED,2024-06-01
N-terminal pro-B-type natriuretic peptide,signs and symptoms,414798009,SNOMED,2024-06-01
Percutaneous coronary intervention,signs and symptoms,415070008,SNOMED,2024-06-01
Death,signs and symptoms,419620001,SNOMED,2024-06-01
Transplant heart,signs and symptoms,420291005,SNOMED,2024-06-01
New York Heart Association Classification,signs and symptoms,420816009,SNOMED,2024-06-01
Ivabradine,signs and symptoms,421228002,SNOMED,2024-06-01
Venous oxygen saturation,signs and symptoms,442349007,SNOMED,2024-06-01
Arterial oxygen saturation,signs and symptoms,442476006,SNOMED,2024-06-01
Diastolic blood pressure on admission,signs and symptoms,446226005,SNOMED,2024-06-01
Smokes tobacco daily,signs and symptoms,449868002,SNOMED,2024-06-01
Sodium glucose cotransporter subtype 2 inhibitor,signs and symptoms,703673007,SNOMED,2024-06-01
Chronic kidney disease,signs and symptoms,709044004,SNOMED,2024-06-01
Measurement of C-reactive protein using high sensitivity technique,signs and symptoms,711357009,SNOMED,2024-06-01
a wave,signs and symptoms,723240002,SNOMED,2024-06-01
Glycated hemoglobin-A1c,signs and symptoms,733830002,SNOMED,2024-06-01
Platelet aggregation inhibitor,signs and symptoms,771452004,SNOMED,2024-06-01
Sacubitril and valsartan only product,signs and symptoms,777480008,SNOMED,2024-06-01
Sodium channel blocker,signs and symptoms,782436006,SNOMED,2024-06-01
Peripheral arterial disease,signs and symptoms,840580004,SNOMED,2024-06-01
Renin-angiotensin system inhibitor,signs and symptoms,866173006,SNOMED,2024-06-01
Body height,signs and symptoms,1153637007,SNOMED,2024-06-01
Occasional tobacco smoker,signs and symptoms,428041000124106,SNOMED,2024-06-01
Flumethiazide,Medication,6513000,SNOMED,2024-06-01
Chlorothiazide sodium,Medication,8252004,SNOMED,2024-06-01
Trichlormethiazide,Medication,11473005,SNOMED,2024-06-01
Diltiazem hydrochloride,Medication,12218006,SNOMED,2024-06-01
Inositol hexanitrate,Medication,12970004,SNOMED,2024-06-01
Verapamil hydrochloride,Medication,14340003,SNOMED,2024-06-01
Mercaptomerin sodium,Medication,30333004,SNOMED,2024-06-01
Mercumatilin,Medication,33667000,SNOMED,2024-06-01
Cyclothiazide,Medication,37006008,SNOMED,2024-06-01
Amisometradine,Medication,39263003,SNOMED,2024-06-01
Amyl nitrate,Medication,41153003,SNOMED,2024-06-01
Quinethazone,Medication,41261002,SNOMED,2024-06-01
Sulfonamide diuretic,Medication,43585000,SNOMED,2024-06-01
Enalaprilat,Medication,48052001,SNOMED,2024-06-01
Merethoxylline procaine,Medication,49022000,SNOMED,2024-06-01
Methazolamide,Medication,53052005,SNOMED,2024-06-01
Erythrityl tetranitrate,Medication,62368002,SNOMED,2024-06-01
Ethoxyzolamide,Medication,63203003,SNOMED,2024-06-01
Tienilic acid,Medication,64029000,SNOMED,2024-06-01
Benzthiazide,Medication,66290002,SNOMED,2024-06-01
Chlormerodrin,Medication,74589005,SNOMED,2024-06-01
Ethacrynate sodium,Medication,75341007,SNOMED,2024-06-01
Theobromine,Medication,75371004,SNOMED,2024-06-01
Aminometradine,Medication,80253002,SNOMED,2024-06-01
Meralluride,Medication,85391002,SNOMED,2024-06-01
Chlorazanil,Medication,88802007,SNOMED,2024-06-01
Canrenone,Medication,96291007,SNOMED,2024-06-01
Norverapamil,Medication,96297006,SNOMED,2024-06-01
Torasemide,Medication,108476002,SNOMED,2024-06-01
Nicardipine hydrochloride,Medication,108527006,SNOMED,2024-06-01
Bepridil hydrochloride,Medication,108531000,SNOMED,2024-06-01
Moexipril hydrochloride,Medication,108567007,SNOMED,2024-06-01
Fosinopril sodium,Medication,108570006,SNOMED,2024-06-01
Benazepril hydrochloride,Medication,108573008,SNOMED,2024-06-01
Losartan potassium,Medication,108582002,SNOMED,2024-06-01
Pamabrom,Medication,116552006,SNOMED,2024-06-01
Perindopril erbumine,Medication,129485000,SNOMED,2024-06-01
Eprosartan mesilate,Medication,129488003,SNOMED,2024-06-01
Mercaptomerin,Medication,362947006,SNOMED,2024-06-01
Nicardipine,Medication,372502001,SNOMED,2024-06-01
Bepridil,Medication,372503006,SNOMED,2024-06-01
Fosinopril,Medication,372510000,SNOMED,2024-06-01
Benazepril,Medication,372511001,SNOMED,2024-06-01
Candesartan,Medication,372512008,SNOMED,2024-06-01
Aldosterone receptor antagonist,Medication,372603003,SNOMED,2024-06-01
Enalapril,Medication,372658000,SNOMED,2024-06-01
Saluretic agent,Medication,372660003,SNOMED,2024-06-01
Loop diuretic,Medication,372691009,SNOMED,2024-06-01
Diuretic,Medication,372695000,SNOMED,2024-06-01
Nitrate-based vasodilating agent,Medication,372700007,SNOMED,2024-06-01
Acetazolamide,Medication,372709008,SNOMED,2024-06-01
Angiotensin-converting enzyme inhibitor,Medication,372733002,SNOMED,2024-06-01
Thiazide diuretic,Medication,372747003,SNOMED,2024-06-01
Potassium-sparing diuretic,Medication,372753003,SNOMED,2024-06-01
Verapamil,Medication,372754009,SNOMED,2024-06-01
Uricosuric agent,Medication,372758007,SNOMED,2024-06-01
Chlorothiazide,Medication,372782002,SNOMED,2024-06-01
Osmotic diuretic,Medication,372792005,SNOMED,2024-06-01
Diltiazem,Medication,372793000,SNOMED,2024-06-01
Angiotensin II receptor antagonist,Medication,372913009,SNOMED,2024-06-01
Perindopril,Medication,372916001,SNOMED,2024-06-01
Calcium channel blocker,Medication,373304005,SNOMED,2024-06-01
Moexipril,Medication,373442003,SNOMED,2024-06-01
Ethacrynic acid,Medication,373536004,SNOMED,2024-06-01
Losartan,Medication,373567002,SNOMED,2024-06-01
Mercurial diuretic,Medication,373751005,SNOMED,2024-06-01
Amlodipine besilate,Medication,384976003,SNOMED,2024-06-01
Pentaerythritol tetranitrate,Medication,386836006,SNOMED,2024-06-01
Gabapentin,Medication,386845007,SNOMED,2024-06-01
Isosorbide,Medication,386853004,SNOMED,2024-06-01
Isosorbide mononitrate,Medication,386854005,SNOMED,2024-06-01
Nisoldipine,Medication,386861009,SNOMED,2024-06-01
Isradipine,Medication,386862002,SNOMED,2024-06-01
Felodipine,Medication,386863007,SNOMED,2024-06-01
Amlodipine,Medication,386864001,SNOMED,2024-06-01
Trandolapril,Medication,386871006,SNOMED,2024-06-01
Ramipril,Medication,386872004,SNOMED,2024-06-01
Lisinopril,Medication,386873009,SNOMED,2024-06-01
Quinapril,Medication,386874003,SNOMED,2024-06-01
Quinapril hydrochloride,Medication,386875002,SNOMED,2024-06-01
Valsartan,Medication,386876001,SNOMED,2024-06-01
Irbesartan,Medication,386877005,SNOMED,2024-06-01
Candesartan cilexetil,Medication,386878000,SNOMED,2024-06-01
Amyl nitrite,Medication,387038004,SNOMED,2024-06-01
Triamterene,Medication,387053007,SNOMED,2024-06-01
Telmisartan,Medication,387069000,SNOMED,2024-06-01
Spironolactone,Medication,387078006,SNOMED,2024-06-01
Urea,Medication,387092000,SNOMED,2024-06-01
Sulfinpyrazone,Medication,387108008,SNOMED,2024-06-01
Metolazone,Medication,387123003,SNOMED,2024-06-01
Mersalyl,Medication,387157006,SNOMED,2024-06-01
Captopril,Medication,387160004,SNOMED,2024-06-01
Enalapril maleate,Medication,387165009,SNOMED,2024-06-01
Mannitol,Medication,387168006,SNOMED,2024-06-01
Prenylamine,Medication,387288001,SNOMED,2024-06-01
Chlortalidone,Medication,387324004,SNOMED,2024-06-01
Isosorbide dinitrate,Medication,387332007,SNOMED,2024-06-01
Probenecid,Medication,387365004,SNOMED,2024-06-01
Methyclothiazide,Medication,387373008,SNOMED,2024-06-01
Nitroglycerin,Medication,387404004,SNOMED,2024-06-01
Indapamide,Medication,387419003,SNOMED,2024-06-01
Furosemide,Medication,387475002,SNOMED,2024-06-01
Choline theophyllinate,Medication,387489007,SNOMED,2024-06-01
Nifedipine,Medication,387490003,SNOMED,2024-06-01
Polythiazide,Medication,387492006,SNOMED,2024-06-01
Bumetanide,Medication,387498005,SNOMED,2024-06-01
Nimodipine,Medication,387502003,SNOMED,2024-06-01
Amiloride,Medication,387503008,SNOMED,2024-06-01
Amiloride hydrochloride,Medication,387516008,SNOMED,2024-06-01
Bendroflumethiazide,Medication,387520007,SNOMED,2024-06-01
Hydrochlorothiazide,Medication,387525002,SNOMED,2024-06-01
Apazone,Medication,391798003,SNOMED,2024-06-01
Imidapril hydrochloride,Medication,395741003,SNOMED,2024-06-01
Lacidipine,Medication,395764001,SNOMED,2024-06-01
Lercanidipine hydrochloride,Medication,395768003,SNOMED,2024-06-01
Mersalyl sodium,Medication,395784002,SNOMED,2024-06-01
Xipamide,Medication,395923001,SNOMED,2024-06-01
Clopamide,Medication,395940005,SNOMED,2024-06-01
Hydroflumethiazide,Medication,395946004,SNOMED,2024-06-01
Cilazapril,Medication,395947008,SNOMED,2024-06-01
Imidapril,Medication,395984005,SNOMED,2024-06-01
Lercanidipine,Medication,395986007,SNOMED,2024-06-01
Cyclopenthiazide,Medication,396009008,SNOMED,2024-06-01
Eprosartan,Medication,396044005,SNOMED,2024-06-01
Phenylalkylamine,Medication,406766008,SNOMED,2024-06-01
Benzothiazepine,Medication,406767004,SNOMED,2024-06-01
Diarylaminopropylamine,Medication,406768009,SNOMED,2024-06-01
Dihydropyridine derivative calcium channel blocker,Medication,406769001,SNOMED,2024-06-01
Mefruside,Medication,406772008,SNOMED,2024-06-01
Eplerenone,Medication,407010008,SNOMED,2024-06-01
Diltiazem maleate,Medication,410870005,SNOMED,2024-06-01
Amiloride hydrochloride dihydrate,Medication,412082007,SNOMED,2024-06-01
Olmesartan,Medication,412259001,SNOMED,2024-06-01
Olmesartan medoxomil,Medication,412260006,SNOMED,2024-06-01
Terodiline,Medication,417479000,SNOMED,2024-06-01
Piperazine-derivative calcium channel blocker,Medication,418559008,SNOMED,2024-06-01
Lidoflazine,Medication,418865004,SNOMED,2024-06-01
Purine derivative diuretic,Medication,419151007,SNOMED,2024-06-01
Piretanide,Medication,419451002,SNOMED,2024-06-01
Potassium canrenoate,Medication,419615001,SNOMED,2024-06-01
Amlodipine maleate,Medication,421048000,SNOMED,2024-06-01
Mibefradil,Medication,421651006,SNOMED,2024-06-01
Perhexiline,Medication,421817009,SNOMED,2024-06-01
Conivaptan,Medication,421858002,SNOMED,2024-06-01
Aliskiren fumarate,Medication,425981005,SNOMED,2024-06-01
Renin inhibitor,Medication,426228001,SNOMED,2024-06-01
Aliskiren,Medication,426725002,SNOMED,2024-06-01
